ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
4797,2417,100126,202410,12,Profit Before Taxes ([100]) is negative.,2
4798,2512,100289,202411,12,Profit Before Taxes ([100]) is negative.,2
4799,2093,100252,202411,12,Profit Before Taxes ([100]) is negative.,2
4800,2090,100313,202410,12,Profit Before Taxes ([100]) is negative.,2
4801,2280,100326,202412,12,Profit Before Taxes ([100]) is negative.,2
4802,2468,100379,202410,12,Profit Before Taxes ([100]) is negative.,2
4803,2089,100394,202411,12,Profit Before Taxes ([100]) is negative.,2
4804,2339,100477,202410,12,Profit Before Taxes ([100]) is negative.,2
4805,2438,100463,202411,12,Profit Before Taxes ([100]) is negative.,2
4806,2269,100544,202410,12,Profit Before Taxes ([100]) is negative.,2
4807,2601,100557,202411,12,Profit Before Taxes ([100]) is negative.,2
4808,2540,100618,202412,12,Profit Before Taxes ([100]) is negative.,2
4809,2105,100715,202410,12,Profit Before Taxes ([100]) is negative.,2
4810,2035,100741,202410,12,Profit Before Taxes ([100]) is negative.,2
4811,2406,100848,202411,12,Profit Before Taxes ([100]) is negative.,2
4812,2080,100921,202410,12,Profit Before Taxes ([100]) is negative.,2
4813,2649,100885,202410,12,Profit Before Taxes ([100]) is negative.,2
4814,2468,100898,202410,12,Profit Before Taxes ([100]) is negative.,2
4815,2140,100976,202412,12,Profit Before Taxes ([100]) is negative.,2
4816,2540,100991,202411,12,Profit Before Taxes ([100]) is negative.,2
4817,2589,101005,202412,12,Profit Before Taxes ([100]) is negative.,2
4818,2026,101026,202410,12,Profit Before Taxes ([100]) is negative.,2
4819,2169,101038,202412,12,Profit Before Taxes ([100]) is negative.,2
4820,2361,100983,202411,12,Profit Before Taxes ([100]) is negative.,2
4821,2089,101058,202411,12,Profit Before Taxes ([100]) is negative.,2
4822,2328,101110,202412,12,Profit Before Taxes ([100]) is negative.,2
4823,2050,101165,202410,12,Profit Before Taxes ([100]) is negative.,2
4824,2503,101186,202411,12,Profit Before Taxes ([100]) is negative.,2
4825,2295,101131,202410,12,Profit Before Taxes ([100]) is negative.,2
4826,2200,101199,202410,12,Profit Before Taxes ([100]) is negative.,2
4827,2347,101283,202410,12,Profit Before Taxes ([100]) is negative.,2
4828,2539,101248,202411,12,Profit Before Taxes ([100]) is negative.,2
4829,2668,101298,202411,12,Profit Before Taxes ([100]) is negative.,2
4830,2154,101368,202410,12,Profit Before Taxes ([100]) is negative.,2
4831,2415,101383,202410,12,Profit Before Taxes ([100]) is negative.,2
4832,2267,101417,202412,12,Profit Before Taxes ([100]) is negative.,2
4833,2442,101464,202410,12,Profit Before Taxes ([100]) is negative.,2
4834,2064,101476,202411,12,Profit Before Taxes ([100]) is negative.,2
4835,2192,101424,202410,12,Profit Before Taxes ([100]) is negative.,2
4836,2540,101438,202410,12,Profit Before Taxes ([100]) is negative.,2
4837,2364,101584,202412,12,Profit Before Taxes ([100]) is negative.,2
4838,2609,101570,202410,12,Profit Before Taxes ([100]) is negative.,2
4839,2009,101607,202412,12,Profit Before Taxes ([100]) is negative.,2
4840,2544,101661,202410,12,Profit Before Taxes ([100]) is negative.,2
4841,2228,101675,202411,12,Profit Before Taxes ([100]) is negative.,2
4842,2139,101750,202412,12,Profit Before Taxes ([100]) is negative.,2
4843,2139,101763,202410,12,Profit Before Taxes ([100]) is negative.,2
4844,2143,101731,202411,12,Profit Before Taxes ([100]) is negative.,2
4845,2139,101744,202411,12,Profit Before Taxes ([100]) is negative.,2
4846,2277,101783,202410,12,Profit Before Taxes ([100]) is negative.,2
4847,2507,101876,202411,12,Profit Before Taxes ([100]) is negative.,2
4848,2104,101897,202411,12,Profit Before Taxes ([100]) is negative.,2
4849,2372,101911,202410,12,Profit Before Taxes ([100]) is negative.,2
4850,2353,101957,202411,12,Profit Before Taxes ([100]) is negative.,2
4851,2245,101970,202412,12,Profit Before Taxes ([100]) is negative.,2
4852,2142,102127,202412,12,Profit Before Taxes ([100]) is negative.,2
4853,2082,102142,202411,12,Profit Before Taxes ([100]) is negative.,2
